"","date","amount.x","cum_rolling_365_all","amount.y","cum_rolling_365_private","cum_rolling_365_health","cum_rolling_365_pubad","cum_rolling_365_realestate","cum_rolling_365_computing","cum_rolling_365_management","cum_rolling_365_bussup","cum_rolling_365_residential","cum_rolling_365_socialwork","cum_rolling_365_legal","cum_rolling_365_transport","cum_rolling_365_private2","cum_rolling_365_pubad2","cum_rolling_365_computing2","cum_rolling_365_legal2","cum_rolling_365_management2","cum_rolling_365_realestate2","cum_rolling_365_transport2","cum_rolling_365_health2","cum_rolling_365_bussup2","cum_rolling_365_residential2","cum_rolling_365_socialwork2","Rolling_Percent"
"436",2018-08-03,629890,32543728397,604672,2004353186,1388923031,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004353186,0.128262461174694,0.163676135537409,0.0907221466447639,0.259103446818875,0.219798230022698,0.0915873978432896,4.26786695751811,0.292563718694189,0.281791277512179,0.0885890444029691,6.15895376691003
"437",2018-08-06,17720567,32561448964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004353186,0.128192658275586,0.163587059835363,0.0906727739070893,0.258962437738033,0.219678611597059,0.0915375542192656,4.26554430220718,0.292404499889626,0.281637921277366,0.0885408325405749,6.15560194577341
"438",2018-08-07,191355,32561640319,49381,2004402567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004402567,0.128191904925759,0.163586098483247,0.0906722410503757,0.258960915893409,0.219677320611706,0.0915370162804973,4.26551923488188,0.292402781516027,0.281636266175722,0.0885403122126416,6.15571742505372
"439",2018-08-08,2459411,32564099730,40502,2004443069,1388963533,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004443069,0.128182223203135,0.163573743606146,0.090665393008855,0.258941357811644,0.219660729432363,0.0915301029266317,4.26532145680786,0.292380697729794,0.281614995532996,0.0885336251855288,6.15537688933371
"440",2018-08-09,106885,32564206615,106885,2004549954,NA,NA,NA,NA,84428807,NA,NA,NA,NA,NA,2004549954,0.128181802472573,0.163573206710536,0.0906650954192148,0.259268736371147,0.219660008443292,0.0915298024987672,4.26530745680813,0.292379738053078,0.281614071192381,0.0885333345929576,6.15568491411256
"441",2018-08-13,848104,32565054719,26125,2004576079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004576079,0.128178464185556,0.163568946711832,0.0906627341939459,0.259261984137678,0.21965428775486,0.0915274187536058,4.26519637379762,0.292372123497306,0.281606737010931,0.0885310288859398,6.15560482332135
"442",2018-08-15,141673,32565196392,141673,2004717752,NA,NA,NA,53407990,NA,NA,NA,NA,NA,NA,2004717752,0.128177906552574,0.164003279320374,0.090662339770974,0.259260856233438,0.219653332161609,0.0915270205688738,4.26517781830793,0.292370851549324,0.281605511897138,0.0885306437368284,6.156013087925
"443",2018-08-20,160991,32565357383,30074,2004747826,NA,NA,NA,NA,84458881,NA,NA,NA,NA,NA,2004747826,0.128177272888736,0.164002468549233,0.0906618915701276,0.259351924214072,0.219652246277331,0.0915265680933676,4.2651567328571,0.292369406176708,0.281604119744354,0.0885302060742933,6.15607500455847
"444",2018-08-21,348279,32565705662,261935,2005009761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005009761,0.128175902076972,0.164000714599347,0.0906609219724391,0.259349150534615,0.219649897172248,0.0915255892482616,4.2651111184756,0.292366279386659,0.281601108085333,0.0885292592742466,6.15681349518426
"445",2018-08-22,3082862,32568788524,-39152,2004970609,1388924381,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004970609,0.128163769337753,0.163985190792846,0.0906523402866012,0.259324601336528,0.219629105784174,0.0915169257156616,4.26458718283764,0.292338604888047,0.281574452584941,0.088520879365086,6.15611049677986
"446",2018-08-23,285502,32569074026,246760,2005217369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005217369,0.12816264584826,0.163983753291126,0.0906515456240193,0.259322328085153,0.219627180505337,0.0915161234740841,4.26454979927037,0.292336042234399,0.281571984290346,0.0885201033869884,6.15681418329311
"447",2018-08-24,39909,32569113935,39909,2005257278,1388964290,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005257278,0.128162488802445,0.163983552351437,0.0906514345429336,0.259322010321065,0.21962691138223,0.0915160113335764,4.26466710998658,0.292335684016514,0.281571639262344,0.0885199949176941,6.15692917529781
"448",2018-08-27,2937015,32572050950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005257278,0.128150932417721,0.163968765988928,0.0906432605221011,0.259298627309804,0.219607107669712,0.091507759354036,4.26428256584807,0.292309324169223,0.28154625000671,0.0885120130883253,6.1563740062859
"449",2018-08-28,28385,32572079335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005257278,0.128150820740349,0.163968623098038,0.0906431815308607,0.259298401343526,0.219606916292684,0.0915076796094264,4.26427884973098,0.292309069435711,0.281546004652699,0.0885119359543645,6.15636864130216
