"","LAD19CD","threeyears","ccg19cd","LAD19NM","Treatable_mortality_rate","Preventable_mortality_rate","year","Broad_RUC11","one.x","one.y","include","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Managerial_occupation","Professional_occupation","Local_Authority_Expenditure","Claimant_percent","GDHI_per_person","Local_Authority_Spend_per_pop","professional_and_managerial"
"98","E06000036","X2016.2018","E38000224","Bracknell Forest",66.2,112,"2018","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","E06000036","X2017.2019","E38000224","Bracknell Forest",65.4,111.5,"2019","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","E06000037","X2009.2011","E38000221","West Berkshire",76.5,125.3,"2011","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","E06000037","X2010.2012","E38000221","West Berkshire",79.7,115.9,"2012","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","E06000037","X2011.2013","E38000221","West Berkshire",79.9,120.2,"2013","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","E06000037","X2012.2014","E38000221","West Berkshire",72.2,119,"2014","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","E06000037","X2013.2015","E38000221","West Berkshire",69.8,114.3,"2015","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","E06000037","X2014.2016","E38000221","West Berkshire",67.7,117.1,"2016","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","E06000037","X2015.2017","E38000221","West Berkshire",70.6,114.6,"2017","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","E06000037","X2016.2018","E38000221","West Berkshire",71.1,112.9,"2018","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
